language,abstract,keywords,introduction,methods,results,discussion,conclusion ,references,data accessibility,funding ,interest statements
english,abstract,keyword; keywords; subjects,introduction; background,methods; methodology; materials and methods; material and methods,results; results and conclusions,discussion; conclusions,,literature cited; works cited; references; citations,data accessibility,funding ,interest statements
spanish,resumen,palabras clave,introduccion; introducción,metodos; metodologia; materiales y metodos; material y metodo; materiales y metodo; métodos; metodología; materiales y métodos; material y método; materiales y método,resultados; resultados y conclusiones; resultados y discusion; resultados y discusión,discusion; discusion y conclusiones; discusión; discusión y conclusiones,conclusion; conclusión,literatura citada; bibliografia; referencias; trabajos citados; referencias bibliograficas; bibliografía; referencias bibliográficas,,,
portuguese,resumo ,palavras-chave; palavras chave,introducao; introdução,metodologia; material e metodos; metodos; material e métodos; métodos,resultados; resultados e discussao; resultados e discussão,discussao; discussao e conclusao; discussão; discussão e conclusão,conclusao; conclusaos; conclusão; conclusãos,referencias bibliograficas; trabalhos citados; referencias; literatura citada; referencias; referências; referências bibliográficas ,,,
french,resumes; résumés; résumé; resume,mots cles; mots-cles; mots clés; mots-clés,introduction; introduction et definitions,methodologie; methodes; méthodologie; méthodes,resultats; premier resultats; résultats; premier résultats,discussion,conclusion,references; references bibliographiques; réferencés; réferencés bibliographiques,,,
norwegian, sammendrag; abstract, keywords; nÃ¸kkelord, innledning, metoder; metoder og materiale, resultat, diskusjon; oppsummering og diskusjon,, referanser,,,
german,zusammenfassung; abstrakt; abstrakte,keywords; ; schlüsselwörter,einleitung; einführung ,material und methoden; methoden; ,ergebnisse; ergebnissen und diskussionen,diskussion; ergebnissen und diskussionen,schlussfolgerungen,literatur; zitierte literatur; bibliographie; zitiertes werk,,,
russian,аннотация,ключевые слова,введение,методы; материал и методы,результаты; результаты и обсуждение; результаты и дискуссия,обсуждение; дискуссия; результаты и обсуждение; результаты и дискуссия, вывод; заключение,цитаты из произведений; библиография; цитаты из научных работ,,,
mandarin,摘要,关键词,引言 ; 绪言 ; 绪论 ,方法; 材料与方法,结果; 结果和讨论,讨论; 结果和讨论,结论,参考文献; 参考书目,,,
japanese,抄録,,,,,,,引用文献,,,
